State,Week,1,2,3,4,5
AE,week1,0.00%,0.00%,100.00%,0.00%,0.00%
AE,week2,0.00%,0.00%,100.00%,0.00%,0.00%
AE,week3,0.00%,0.00%,0.00%,0.00%,0.00%
AE,week4,0.00%,0.00%,0.00%,0.00%,0.00%
AE,week5,0.00%,0.00%,0.00%,0.00%,0.00%
AK,week1,100.00%,0.00%,0.00%,0.00%,0.00%
AK,week2,0.00%,0.00%,0.00%,0.00%,0.00%
AK,week3,100.00%,0.00%,0.00%,0.00%,0.00%
AK,week4,0.00%,0.00%,0.00%,0.00%,0.00%
AK,week5,0.00%,0.00%,0.00%,0.00%,0.00%
AL,week1,27.27%,9.09%,54.55%,9.09%,0.00%
AL,week2,66.67%,0.00%,33.33%,0.00%,0.00%
AL,week3,0.00%,0.00%,100.00%,0.00%,0.00%
AL,week4,14.29%,14.29%,57.14%,14.29%,0.00%
AL,week5,0.00%,0.00%,0.00%,0.00%,0.00%
AR,week1,33.33%,16.67%,16.67%,0.00%,33.33%
AR,week2,0.00%,0.00%,0.00%,0.00%,100.00%
AR,week3,33.33%,0.00%,33.33%,0.00%,33.33%
AR,week4,100.00%,0.00%,0.00%,0.00%,0.00%
AR,week5,0.00%,100.00%,0.00%,0.00%,0.00%
AZ,week1,36.36%,2.27%,38.64%,2.27%,20.45%
AZ,week2,42.86%,0.00%,14.29%,0.00%,42.86%
AZ,week3,37.50%,0.00%,37.50%,0.00%,25.00%
AZ,week4,41.67%,8.33%,33.33%,0.00%,16.67%
AZ,week5,29.41%,0.00%,52.94%,5.88%,11.76%
CA,week1,30.84%,7.71%,35.97%,2.57%,22.91%
CA,week2,26.09%,6.52%,39.13%,4.35%,23.91%
CA,week3,34.91%,3.77%,39.62%,0.94%,20.75%
CA,week4,32.03%,5.47%,31.25%,1.56%,29.69%
CA,week5,31.58%,16.84%,33.68%,3.16%,14.74%
CO,week1,26.23%,8.20%,47.54%,1.64%,16.39%
CO,week2,35.00%,5.00%,50.00%,0.00%,10.00%
CO,week3,0.00%,0.00%,62.50%,0.00%,37.50%
CO,week4,28.57%,9.52%,42.86%,4.76%,14.29%
CO,week5,25.00%,16.67%,41.67%,0.00%,16.67%
CT,week1,22.95%,8.20%,42.62%,3.28%,22.95%
